iter	Passed	Remaining
934	160174	96790
935	160347	96619
936	160530	96455
937	160705	96286
938	160897	96127
939	161071	95957
940	161248	95789
941	161410	95612
942	161599	95451
943	161771	95280
944	161926	95099
945	162122	94942
946	162291	94769
947	162476	94606
948	162661	94442
949	162839	94275
950	163002	94099
951	163180	93931
952	163359	93764
953	163535	93595
954	163721	93432
955	163896	93263
956	164080	93099
957	164270	92938
958	164455	92773
959	164656	92619
960	164837	92452
961	165016	92285
962	165199	92120
963	165373	91950
964	165545	91779
965	165701	91599
966	165868	91425
967	166048	91258
968	166218	91085
969	166386	90912
970	166565	90745
971	166740	90575
972	166922	90409
973	167102	90242
974	167278	90073
975	167463	89908
976	167650	89745
977	167833	89579
978	168010	89411
979	168188	89242
980	168365	89073
981	168550	88909
982	168730	88742
983	168893	88566
984	169064	88393
985	169253	88231
986	169437	88066
987	169613	87896
988	169783	87724
989	169939	87544
990	170111	87373
991	170297	87208
992	170478	87042
993	170676	86883
994	170851	86713
995	171028	86544
996	171200	86372
997	171387	86208
998	171537	86026
999	171715	85857
1000	171883	85684
1001	172027	85498
1002	172200	85327
1003	172354	85147
1004	172544	84984
1005	172726	84817
1006	172908	84651
1007	173081	84480
1008	173263	84313
1009	173436	84142
1010	173623	83977
1011	173798	83808
1012	173975	83638
1013	174161	83473
1014	174317	83294
1015	174508	83132
1016	174685	82962
1017	174849	82787
1018	175021	82615
1019	175202	82448
1020	175386	82282
1021	175580	82120
1022	175757	81951
1023	175920	81775
1024	176102	81608
1025	176272	81435
1026	176442	81263
1027	176632	81099
1028	176807	80929
1029	176999	80766
1030	177177	80597
1031	177345	80424
1032	177536	80260
1033	177707	80088
1034	177880	79917
1035	178061	79749
1036	178240	79580
1037	178412	79409
1038	178580	79235
1039	178757	79065
1040	178939	78898
1041	179116	78728
1042	179292	78558
1043	179459	78384
1044	179630	78212
1045	179813	78045
1046	179995	77877
1047	180173	77708
1048	180347	77537
1049	180512	77362
1050	180670	77184
1051	180834	77009
1052	181011	76839
1053	181204	76676
1054	181371	76502
1055	181544	76331
1056	181706	76155
1057	181898	75991
1058	182057	75814
1059	182225	75640
1060	182414	75476
1061	182571	75297
1062	182742	75125
1063	182912	74952
1064	183096	74785
1065	183260	74610
1066	183429	74437
1067	183619	74272
1068	183785	74098
1069	183978	73935
1070	184151	73763
1071	184328	73593
1072	184503	73423
1073	184682	73253
1074	184860	73084
1075	185025	72909
1076	185200	72739
1077	185368	72565
1078	185543	72394
1079	185719	72224
1080	185904	72057
1081	186097	71893
1082	186268	71721
1083	186445	71550
1084	186628	71383
1085	186820	71218
1086	186987	71044
1087	187155	70871
1088	187315	70695
1089	187500	70527
1090	187667	70353
1091	187841	70182
1092	188021	70013
1093	188200	69844
1094	188371	69671
1095	188542	69499
1096	188728	69332
1097	188898	69159
1098	189077	68990
1099	189254	68819
1100	189426	68647
1101	189609	68479
1102	189782	68308
1103	189944	68132
1104	190115	67959
1105	190300	67792
1106	190487	67625
1107	190664	67455
1108	190841	67285
1109	191020	67115
1110	191192	66943
1111	191361	66770
1112	191518	66592
1113	191686	66419
1114	191857	66246
1115	192025	66073
1116	192208	65905
1117	192370	65729
1118	192542	65557
1119	192720	65387
1120	192903	65218
1121	193066	65043
1122	193252	64876
1123	193404	64697
1124	193588	64529
1125	193762	64357
1126	193938	64187
1127	194093	64009
1128	194268	63838
1129	194452	63670
1130	194626	63498
1131	194799	63326
1132	194985	63159
1133	195155	62986
1134	195320	62812
1135	195508	62645
1136	195681	62473
1137	195875	62308
1138	196074	62144
1139	196241	61970
1140	196419	61800
1141	196609	61634
1142	196788	61464
1143	196953	61289
1144	197125	61117
1145	197294	60944
1146	197470	60773
1147	197653	60604
1148	197852	60440
1149	198013	60265
1150	198180	60091
1151	198362	59921
1152	198538	59751
1153	198706	59577
1154	198874	59404
1155	199024	59225
1156	199202	59054
1157	199383	58885
1158	199561	58714
1159	199741	58544
1160	199932	58378
1161	200101	58205
1162	200278	58034
1163	200457	57864
1164	200642	57695
1165	200830	57527
1166	201020	57360
1167	201189	57187
1168	201370	57017
1169	201528	56841
1170	201706	56670
1171	201869	56496
1172	202080	56334
1173	202252	56162
1174	202434	55992
1175	202588	55815
1176	202756	55641
1177	202923	55467
1178	203101	55297
1179	203278	55126
1180	203460	54956
1181	203632	54784
1182	203791	54608
1183	203942	54430
1184	204123	54260
1185	204301	54089
1186	204473	53917
1187	204650	53746
1188	204835	53577
1189	205019	53408
1190	205194	53236
1191	205375	53066
1192	205538	52892
1193	205706	52718
1194	205866	52543
1195	206027	52368
1196	206196	52195
1197	206358	52020
1198	206545	51851
1199	206734	51683
1200	206916	51513
1201	207099	51344
1202	207260	51169
1203	207420	50993
1204	207579	50818
1205	207754	50646
1206	207921	50472
1207	208114	50305
1208	208300	50136
1209	208471	49964
1210	208657	49795
1211	208847	49627
1212	209025	49456
1213	209210	49286
1214	209394	49117
1215	209606	48954
1216	209779	48781
1217	209956	48610
1218	210132	48439
1219	210311	48268
1220	210488	48096
