district,neighborhood,room,living room,area (m2),age,floor,price
Büyükçekmece,Pınartepe Mah.,3,1,145,6,2,30000
Beşiktaş,Arnavutköy Mah.,3,1,180,100,1,150000
Maltepe,Küçükyalı Mah.,2,1,95,0,4,44000
Eyüpsultan,Emniyettepe Mah.,2,1,80,3,4,35000
Maltepe,Bağlarbaşı Mah.,1,0,50,10,4,20000
Ataşehir,İnönü Mah.,2,1,75,5,2,29000
Başakşehir,Ziya Gökalp Mah.,1,1,83,5,6,38000
Üsküdar,Ünalan Mah.,2,1,80,20,4,24000
Kağıthane,Emniyet Evleri Mah.,2,1,240,5,11,145000
Fatih,Aksaray Mah.,1,1,50,40,-2,9000
Şişli,Harbiye Mah.,1,1,102,1,21,110000
Bahçelievler,Siyavuşpaşa Mah.,3,1,115,36,4,20000
Kağıthane,Hamidiye Mah.,1,1,65,2,6,46000
Ataşehir,Atatürk Mah.,1,1,56,28,7,35000
Arnavutköy,Atatürk Mah.,2,1,110,11,2,14000
Beylikdüzü,Dereağzı Mah.,2,1,120,5,4,25000
Beykoz,Kavacık Mah.,3,1,105,25,0,30000
Zeytinburnu,Sümer Mah.,1,0,41,12,2,22000
Kadıköy,Feneryolu Mah.,3,1,150,30,4,17000
Esenyurt,Saadetdere Mah.,2,1,80,5,2,15000
Kağıthane,Gürsel Mah.,2,1,85,10,-1,18500
Küçükçekmece,İnönü Mah.,1,1,100,35,5,10000
Şişli,Mecidiyeköy Mah.,2,1,95,16,2,22000
Kartal,Cumhuriyet Mah.,3,1,120,8,0,20000
Beşiktaş,Nisbetiye Mah.,2,1,130,29,1,65000
Sarıyer,Tarabya Mah.,1,1,65,16,1,40000
Beşiktaş,Sinanpaşa Mah.,2,1,85,30,3,43000
Kadıköy,Rasimpaşa Mah.,1,0,20,10,0,17500
Sarıyer,Çamlıtepe Mah.,1,1,45,15,0,10000
Beşiktaş,Dikilitaş Mah.,3,1,145,12,2,45000
Kağıthane,Seyrantepe Mah.,1,1,55,35,2,15000
Maltepe,Aydınevler Mah.,2,1,70,11,0,26000
Şişli,Yayla Mah.,2,1,105,30,4,18000
Kağıthane,Şirintepe Mah.,2,1,85,11,1,21000
Başakşehir,Bahçeşehir 2. Kısım Mah.,5,1,270,16,0,60000
Kağıthane,Çeliktepe Mah.,2,1,80,0,5,24000
Beşiktaş,Arnavutköy Mah.,2,1,120,30,3,100000
Maltepe,Çınar Mah.,2,1,81,5,1,35000
Ümraniye,İstiklal Mah.,2,1,85,27,3,19500
Beşiktaş,Nisbetiye Mah.,3,1,100,35,1,60000
Bahçelievler,Bahçelievler Mah.,3,1,120,35,0,20000
Beyoğlu,Kalyoncu Kulluğu Mah.,1,0,12,20,0,18900
Kağıthane,Hamidiye Mah.,2,1,130,4,8,80000
Beşiktaş,Konaklar Mah.,2,1,96,0,2,40000
Kağıthane,Talatpaşa Mah.,2,1,75,3,1,28000
Sarıyer,Kireçburnu Mah.,3,1,160,13,1,100000
Esenyurt,Yeşilkent Mah.,3,1,130,5,2,22000
Beyoğlu,Şehit Muhtar Mah.,1,1,70,31,0,18500
